,@context,@type,Condition,Location,Options,bodyType,brand,color,description,driveWheelConfiguration,image,manufacturer,mileageFromOdometer_@type,mileageFromOdometer_value,model,name,offers_@type,offers_availability,offers_itemCondition,offers_price,offers_priceCurrency,productionDate,url,vehicleEngine,vehicleIdentificationNumber,vehicleInteriorColor,vehicleTransmission
0,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Auto-Dimming Rearview Mirror, Automatic Headlights",Sport Utility,Kia,White,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Auto-Dimming Rearview Mirror, Automatic Headlights",2 wheel drive - front,https://images.autotrader.com/pictures/atc_upload/565x421_2018KiaNiroFENC.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro,Offer,http://schema.org/InStock,http://schema.org/NewCondition,28025,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=537223886,4-Cylinder,KNDCC3LC4K5350278,Charcoal,Automatic
1,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Auto-Dimming Rearview Mirror, Automatic Headlights",Sport Utility,Kia,White,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Auto-Dimming Rearview Mirror, Automatic Headlights",2 wheel drive - front,https://images.autotrader.com/pictures/atc_upload/565x421_2018KiaNiroFENC.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro,Offer,http://schema.org/InStock,http://schema.org/NewCondition,28025,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=537480093,4-Cylinder,KNDCC3LC6K5350279,Charcoal,Automatic
2,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Auto-Dimming Rearview Mirror, Automatic Headlights",Sport Utility,Kia,White,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Auto-Dimming Rearview Mirror, Automatic Headlights",2 wheel drive - front,https://images.autotrader.com/pictures/atc_upload/565x421_2018KiaNiroFENC.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro,Offer,http://schema.org/InStock,http://schema.org/NewCondition,28000,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=533169423,4-Cylinder,KNDCC3LCXK5282391,Charcoal,Automatic
3,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Auto-Dimming Rearview Mirror, Automatic Headlights",Sport Utility,Kia,Red,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Auto-Dimming Rearview Mirror, Automatic Headlights",2 wheel drive - front,https://images.autotrader.com/pictures/atc_upload/565x421_2018KiaNiroFENC.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro,Offer,http://schema.org/InStock,http://schema.org/NewCondition,27925,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=537567140,4-Cylinder,KNDCC3LC5K5328001,Gray,Automatic
4,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Auto-Dimming Rearview Mirror, Automatic Headlights",Sport Utility,Kia,Red,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Auto-Dimming Rearview Mirror, Automatic Headlights",2 wheel drive - front,https://images.autotrader.com/pictures/atc_upload/565x421_2018KiaNiroFENC.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro,Offer,http://schema.org/InStock,http://schema.org/NewCondition,27925,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=537567139,4-Cylinder,KNDCC3LC3K5338719,Charcoal,Automatic
5,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Auto-Dimming Rearview Mirror, Automatic Headlights",Sport Utility,Kia,Blue,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Auto-Dimming Rearview Mirror, Automatic Headlights",2 wheel drive - front,https://images.autotrader.com/pictures/atc_upload/565x421_2018KiaNiroFENC.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro,Offer,http://schema.org/InStock,http://schema.org/NewCondition,27630,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=538269850,4-Cylinder,KNDCC3LC7K5334608,Gray,Automatic
6,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Auto-Dimming Rearview Mirror, Automatic Headlights",Sport Utility,Kia,Silver,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Auto-Dimming Rearview Mirror, Automatic Headlights",2 wheel drive - front,https://images.autotrader.com/pictures/atc_upload/565x421_2018KiaNiroFENC.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro,Offer,http://schema.org/InStock,http://schema.org/NewCondition,27630,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=537567143,4-Cylinder,KNDCC3LC5K5340066,Gray,Automatic
7,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Auto-Dimming Rearview Mirror, Automatic Headlights",Sport Utility,Kia,Silver,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Auto-Dimming Rearview Mirror, Automatic Headlights",2 wheel drive - front,https://images.autotrader.com/pictures/atc_upload/565x421_2018KiaNiroFENC.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro,Offer,http://schema.org/InStock,http://schema.org/NewCondition,27580,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=534239819,4-Cylinder,KNDCC3LC1K5340064,Gray,Automatic
8,http://schema.org/,Car,New,"Los Angeles, CA","3rd Row Seat, 4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input",Sport Utility,Kia,Silver,"Location: Los Angeles, CA. This 2019 Kia Sorento includes 3rd Row Seat, 4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input",2 wheel drive - front,https://images.autotrader.com/pictures/atc_upload/565x421_2019KiaSorentoLXNC.jpg,Kia,QuantitativeValue,,Sorento,New 2019 Kia Sorento L,Offer,http://schema.org/InStock,http://schema.org/NewCondition,27540,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=533170585,4-Cylinder,5XYPG4A34KG604822,Satin Black,Automatic
9,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABP, ABS, AM/FM Stereo, AURORA BLACK PEARL, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input",Sport Utility,Kia,Black,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABP, ABS, AM/FM Stereo, AURORA BLACK PEARL, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input",2 wheel drive - front,https://images.autotrader.com/pictures/atc_upload/565x421_2018KiaNiroFENC.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro LX,Offer,http://schema.org/InStock,http://schema.org/NewCondition,26975,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=538269840,4-Cylinder,KNDCB3LC3K5346709,Gray,Automatic
