index,Make,Model,Fit_age_a,Fit_age_b,Fit_age_R2,Body,Half life
220,Acura,ILX,30777.774961035448,0.12809998654495808,0.7626944239835306,sedan,5.411007594108776
44,Acura,MDX,55726.29915796359,0.16805282461017682,0.9375089670335888,SUV,4.124595951349602
148,Acura,TSX,32150.62084292623,0.12258541223829585,0.6753708580531346,sedan,5.654424840147978
189,Acura,TLX,35871.65507859322,0.1528893433773754,0.7784878235974448,sedan,4.53367111590704
86,Acura,RDX,42559.08885265344,0.15613239263698464,0.9525226471739138,SUV,4.439501555654805
89,Acura,TL,28820.443700856875,0.10861842370877367,0.7023392406098299,sedan,6.381514077744904
42,Audi,A4,42268.65970998704,0.16810153072592487,0.8931604157614511,sedan,4.123400881638143
212,Audi,Q3,40387.50348200855,0.16056722286633862,0.8476702248606,SUV,4.3168835309370746
137,Audi,A5,54769.2974501901,0.1869757865963189,0.9238062476385924,coupe,3.7071645083997553
239,Audi,A7,86183.82256167603,0.19654413149642505,0.9188428010416261,sedan,3.526688864849713
296,Audi,TT,51937.543189491385,0.13402591428488295,0.9152654408823728,coupe,5.171761026204631
94,Audi,Q7,68250.80668195762,0.18108021568405952,0.8991555559534444,SUV,3.827861577155267
96,Audi,A6,67021.37706583529,0.2284479755522396,0.9228697704305852,sedan,3.034170026345873
188,Audi,A8,104135.97287878883,0.2402111043950023,0.9431706335209225,sedan,2.8855868330724066
208,Audi,S5,67012.77167852747,0.15476421602162102,0.9304339953891454,coupe,4.478748497670579
88,Audi,A3,36273.11087236029,0.150361213868715,0.8755061358142835,sedan,4.609898937136878
276,Audi,S4,59090.7095839308,0.1421591190552536,0.8976560656447219,sedan,4.875874334382941
54,Audi,Q5,48994.38569198842,0.16645442582649067,0.9232476861827456,SUV,4.16420288351196
18,BMW,X5,68956.39106867633,0.1854668214994933,0.9553676753640952,SUV,3.7373261394998014
286,BMW,330i xDrive,52610.45536129033,0.1961599132509401,0.871796318054308,sedan,3.5335965871542725
181,BMW,535i,51484.08387484461,0.16485900286051167,0.8465979786951281,sedan,4.204501956053192
107,BMW,X1,42270.06124002083,0.18769214055737599,0.9300747471116946,SUV,3.693015583612621
250,BMW,530i,59064.0093174891,0.1755172696138898,0.9692148288678942,sedan,3.949184040549516
47,BMW,328i,33194.74053101376,0.13287995384194834,0.7972355370410545,sedan,5.216362438118052
