Entry,Make,Model,a,b,c,R2
1,Toyota,Camry,24778.00123816522,0.16734511896055063,3505.3858555379397,0.9755600425127608
2,Ford,F150,41252.13873559842,0.12753085801875796,3840.296042628615,0.9176335363569373
3,Honda,Civic,23752.46114938928,0.1385230772133378,1994.2329159083415,0.9881202048112024
4,Toyota,Corolla,17899.257313523518,0.12237085785636893,2546.9411015078963,0.9538779355104011
5,Chevrolet,Silverado 1500,34928.572791795305,0.10000000000000002,3418.952263892362,0.8973759709911096
6,Toyota,RAV4,31410.62094437801,0.14748628392222934,2830.6898613066314,0.941815164792641
7,Toyota,Tacoma,31280.780914938936,0.10000000000000002,5927.1085066229525,0.9351239342700731
8,Honda,Accord,27314.35517042681,0.1408199788437045,2286.4780479580995,0.9874910911319431
9,Toyota,Highlander,45184.359004367936,0.1779427223667999,4338.054175810274,0.9925888247252566
10,Jeep,Wrangler,37932.02505546901,0.1475474574055327,9755.154925307821,0.8642405146092884
