Entry,Make,Model,Body,Fit_age_a,Fit_age_b,Fit_age_R2,Fit_miles_a,Fit_miles_b,Fit_miles_R2,Fit_age_cw_R2
1,Toyota,Camry,Sedan,26339.30439,0.108571922,0.782562019,29995.19159,1.31E-05,0.857115339,0.737111943
2,Ford,F150,Truck,43603.91854,0.100032778,0.63844239,43535.63487,9.58E-06,0.636287428,0.199088869
3,Honda,Civic,Sedan,24936.87139,0.110554642,0.845374943,24051.62031,1.07E-05,0.824741895,0.486301884
4,Toyota,Corolla,Sedan,19776.21843,0.089720041,0.818057374,21826.1765,1.09E-05,0.882775873,0.588836841
5,Chevrolet,Silverado 1500,Truck,37447.64622,0.080784236,0.681205855,33598.86886,6.52E-06,0.582406349,-0.548528918
6,Toyota,RAV4,Sport Utility,33376.12836,0.119189789,0.850533367,33387.32174,1.18E-05,0.832944309,0.695353259
7,Toyota,Tacoma,Truck,35495.44695,0.065938085,0.778956484,35188.18718,6.54E-06,0.750049746,-0.223377874
8,Honda,Accord,Sedan,28643.4669,0.112123341,0.88080067,28517.36892,1.14E-05,0.881395367,0.423125431
9,Toyota,Highlander,Sport Utility,47702.70579,0.13659201,0.904261278,43369.03212,1.08E-05,0.906494546,0.711556366
10,Jeep,Wrangler,Convertible,43933.01939,0.078521266,0.613207281,38420.41766,7.35E-06,0.579184093,-0.335098497
11,Honda,CR-V,Sport Utility,30261.21005,0.10553041,0.904912828,29036.05982,1.01E-05,0.89026617,0.353473478
12,Ford,Mustang,Coupe,27704.35134,0.055901969,0.184997147,38669.92021,1.53E-05,0.625992186,
13,Jeep,Grand Cherokee,Sport Utility,39042.0416,0.106223065,0.411718735,43858.34053,1.16E-05,0.607580736,-0.34188302
14,Toyota,Prius,Hatchback,30148.10009,0.122572606,0.8962023,24581.95087,8.71E-06,0.698367695,0.535120245
15,BMW,X3,Sport Utility,45274.41964,0.164677264,0.892481794,48366.60434,1.85E-05,0.926271539,0.891086968
16,Toyota,Tundra,Truck,46706.64472,0.089463301,0.860809564,44508.34959,8.55E-06,0.836590136,0.283218567
17,BMW,330i,Sedan,44064.00133,0.157781124,0.802224977,45567.84634,2.35E-05,0.84957712,0.802798034
18,Toyota,4Runner,Sport Utility,45247.52022,0.096166051,0.901469537,43364.4756,8.16E-06,0.885875393,0.565449853
19,Ford,F250,Truck,54663.89793,0.081082913,0.734363066,50957.90883,8.02E-06,0.609114279,0.31327376
20,RAM,1500,Truck,38404.29001,0.102312916,0.450933967,35498.12316,7.64E-06,0.496827548,
21,Volkswagen,Jetta,Sedan,23166.75404,0.128360034,0.809694429,21855.24321,1.31E-05,0.826002545,
22,Ford,Explorer,Sport Utility,43315.46721,0.153247036,0.628563369,41602.0227,1.30E-05,0.77134554,0.585847179
23,BMW,328i,Sedan,26805.3605,0.095783634,0.79629064,105000.0001,0.000775988,-5.734784489,
24,Porsche,911,Coupe,135080.5083,0.054342198,0.24935477,147287.4574,2.12E-05,0.427904439,-0.732649828
25,Dodge,Challenger,Coupe,30928.00595,0.060149736,0.104409625,43960.58935,1.74E-05,0.500038887,
26,Toyota,Sienna,Van,36959.3049,0.117021534,0.855998606,41437.07298,1.19E-05,0.919268077,0.736961407
27,Chevrolet,Tahoe,Sport Utility,49838.63865,0.11628997,0.907477453,51240.60569,9.55E-06,0.832182856,
28,Honda,Fit,Hatchback,19977.85686,0.095884701,0.933905892,19002.10613,9.87E-06,0.938301851,0.314714965
