Entry,Make,Model,Body,Fit_age_a,Fit_age_b,Fit_age_c,Fit_age_R2,Fit_miles_a,Fit_miles_b,Fit_miles_c,Fit_miles_R2,Fit_age_cw_R2
1,Toyota,Camry,Sedan,24778.00155,0.167345196,3505.388341,0.829706007,24332.3236,2.32E-05,6125.391171,0.873450178,0.737111943
2,Ford,F150,Truck,41252.13788,0.127530892,3840.299123,0.640710518,38241.93935,1.31E-05,6276.347048,0.639948061,0.199088869
3,Honda,Civic,Sedan,23752.45973,0.138523186,1994.238167,0.847799488,21177.02803,1.44E-05,3095.978194,0.828102666,0.486301884
4,Toyota,Corolla,Sedan,17899.25707,0.122370865,2546.941509,0.835795031,16592.51199,2.19E-05,5843.165819,0.907569833,0.588836841
5,Chevrolet,Silverado 1500,Truck,37447.64597,0.080784235,1.36E-14,0.681205855,33598.86592,6.52E-06,5.33E-13,0.582406349,-0.548528918
6,Toyota,RAV4,Sport Utility,31410.62584,0.14748612,2830.678651,0.852335924,26115.40809,2.10E-05,7563.589324,0.847922328,0.695353259
7,Toyota,Tacoma,Truck,35495.45036,0.065938102,1.33E-14,0.778956486,27813.06213,1.01E-05,7736.298894,0.754908911,-0.223377874
8,Honda,Accord,Sedan,27314.35365,0.140820106,2286.484787,0.887186514,24574.7604,1.75E-05,4790.801142,0.895776985,0.423125431
9,Toyota,Highlander,Sport Utility,45184.35897,0.177942722,4338.054205,0.908655028,36716.33575,1.60E-05,7064.006952,0.913323435,0.711556366
10,Jeep,Wrangler,Convertible,37932.01422,0.147548214,9755.207085,0.587982533,26098.26285,1.68E-05,14084.61654,0.598649798,-0.335098497
11,Honda,CR-V,Sport Utility,28637.27386,0.127846102,2324.767421,0.911336603,22972.28415,1.75E-05,6517.562535,0.904291666,0.353473478
12,Ford,Mustang,Coupe,24347.10847,0.210486108,11043.62463,0.216440087,33320.19462,2.40E-05,6855.194517,0.63892726,
13,Jeep,Grand Cherokee,Sport Utility,39042.05906,0.10622318,5.12E-13,0.411718853,25286.43767,0.002140778,22623.29525,0.42065264,-0.34188302
14,Toyota,Prius,Hatchback,29025.73985,0.139585529,1587.321464,0.896578086,20297.32529,1.43E-05,5021.663979,0.708734458,0.535120245
15,BMW,X3,Sport Utility,43249.73598,0.19906771,3140.033258,0.905577578,40974.77431,2.69E-05,7997.835817,0.938241224,0.891086968
16,Toyota,Tundra,Truck,42403.82167,0.123507233,6031.081841,0.854648523,35637.35848,1.41E-05,9597.63287,0.847209952,0.283218567
17,BMW,330i,Sedan,41473.02624,0.265944061,5655.928372,0.796839109,41020.97798,2.79E-05,4600.283282,0.851926142,0.802798034
18,Toyota,4Runner,Sport Utility,45247.51252,0.09616601,7.20E-14,0.901469589,41257.83612,8.98E-06,2173.781863,0.886138687,0.565449853
19,Ford,F250,Truck,48505.30095,0.14116465,10486.48801,0.745968983,30672.70546,0.003,24285.44065,0.297043989,0.31327376
20,RAM,1500,Truck,29777.37004,0.190073477,10912.85142,0.441163286,23317.17802,2.01E-05,14291.67686,0.519757894,
21,Volkswagen,Jetta,Sedan,22599.6589,0.169014414,2040.135715,0.823953288,17256.52301,2.37E-05,5138.060145,0.844944669,
22,Ford,Explorer,Sport Utility,41044.62394,0.207827236,4303.387439,0.622621404,38006.49767,1.59E-05,4263.697319,0.774217518,0.585847179
23,BMW,328i,Sedan,45154.6412,0.28802712,6595.730622,0.884279636,25019.82927,1.41E-05,2885.931389,0.791044347,
24,Porsche,911,Coupe,109768.2928,0.162950091,48572.20486,0.302091989,136173.6735,4.93E-05,38231.79349,0.456898338,-0.732649828
25,Dodge,Challenger,Coupe,30927.98884,0.060149622,3.37E-08,0.1044094,37156.00587,9.68E-05,19407.48909,0.654217676,
26,Toyota,Sienna,Van,36914.08583,0.117528431,64.98833782,0.856179712,38202.93471,1.45E-05,3572.258425,0.921455599,0.736961407
