index,Make,Model,Fit_age_a,Fit_age_b,Fit_age_R2,Body,Half life
90,Acura,TL,28820.4437,0.108618424,0.702339241,Sedan,6.381514078
189,Acura,TLX,35871.65508,0.152889343,0.778487824,Sedan,4.533671116
151,Acura,TSX,32150.62084,0.122585412,0.675370858,Sedan,5.65442484
86,Acura,RDX,42559.08885,0.156132393,0.952522647,SUV,4.439501556
220,Acura,ILX,30777.77496,0.128099987,0.762694424,Sedan,5.411007594
44,Acura,MDX,55726.29916,0.168052825,0.937508967,SUV,4.124595951
42,Audi,A4,42268.65971,0.168101531,0.893160416,Sedan,4.123400882
54,Audi,Q5,48994.38569,0.166454426,0.923247686,SUV,4.164202884
94,Audi,Q7,68250.80668,0.181080216,0.899155556,SUV,3.827861577
276,Audi,S4,59090.70958,0.142159119,0.897656066,Sedan,4.875874334
135,Audi,A5,54769.29745,0.186975787,0.923806248,Coupe,3.707164508
96,Audi,A6,67021.37707,0.228447976,0.92286977,Sedan,3.034170026
187,Audi,A8,104135.9729,0.240211104,0.943170634,Sedan,2.885586833
207,Audi,S5,67012.77168,0.154764216,0.930433995,Coupe,4.478748498
88,Audi,A3,36273.11087,0.150361214,0.875506136,Sedan,4.609898937
297,Audi,TT,51937.54319,0.134025914,0.915265441,Coupe,5.171761026
211,Audi,Q3,40387.50348,0.160567223,0.847670225,SUV,4.316883531
241,Audi,A7,86183.82256,0.196544131,0.918842801,Hatchback,3.526688865
278,BMW,325i,23332.55887,0.103918092,0.100407963,Sedan,6.670157129
298,BMW,X2,43398.81799,0.129992161,0.451910511,SUV,5.332244611
183,BMW,528i,35578.87335,0.130415249,0.874832755,Sedan,5.314945957
270,BMW,X6,80540.64307,0.177433588,0.910065472,SUV,3.906532053
152,BMW,335i,44427.4365,0.132413353,0.655622905,Convertible,5.234743956
205,BMW,Z4,61581.1635,0.139162475,0.937461775,Convertible,4.980868584
237,BMW,535i xDrive,52123.18637,0.17668885,0.660425265,Sedan,3.922997968
31,BMW,X3,47727.76019,0.171836041,0.902397063,SUV,4.033787076
296,BMW,750Li,86679.86786,0.194331337,0.807050886,Sedan,3.566846239
107,BMW,X1,42270.06124,0.187692141,0.930074747,SUV,3.693015584
286,BMW,330i xDrive,52610.45536,0.196159913,0.871796318,Sedan,3.533596587
218,BMW,i3,68136.00237,0.315838519,0.536510966,Hatchback,2.194634149
249,BMW,530i,59064.00932,0.17551727,0.969214829,Sedan,3.949184041
18,BMW,X5,68956.39107,0.185466821,0.955367675,SUV,3.737326139
120,BMW,M3,60206.26911,0.069337012,0.602015847,Coupe,9.996825323
109,BMW,330i,43176.76755,0.152226409,0.898748231,Sedan,4.55341491
181,BMW,535i,51484.08387,0.164859003,0.846597979,Sedan,4.204501956
144,BMW,328i xDrive,41129.62202,0.162612195,0.798154744,Sedan,4.262595426
247,BMW,650i,150783.5518,0.271731811,0.619059438,Convertible,2.550860707
230,BMW,M5,99306.41601,0.125379396,0.689339914,Sedan,5.528420302
118,Bentley,Continental,93877.20786,0.055337837,0.195963762,Coupe,12.52578769
138,Buick,Enclave,40576.26341,0.137510791,0.736228155,SUV,5.040695333
163,Buick,LaCrosse,39580.32337,0.171704857,0.719113173,Sedan,4.036868919
171,Buick,Encore,21986.64402,0.083497414,0.298314995,SUV,8.30145474
226,Buick,Regal,31308.55033,0.139420512,0.678897504,Sedan,4.9716501
142,Cadillac,SRX,38302.04551,0.141113841,0.798800135,SUV,4.911991598
180,Cadillac,Escalade ESV,88257.91422,0.169902352,0.849260553,SUV,4.079696314
244,Cadillac,XTS,28258.10436,0.065048128,0.329886878,Sedan,10.65595617
69,Cadillac,CTS,55831.03371,0.168704963,0.50769651,Sedan,4.108652088
290,Cadillac,DTS,55192.65955,0.171771373,0.09298532,Sedan,4.035305687
264,Cadillac,ATS,29412.23146,0.107780567,0.311514069,Sedan,6.431122207
174,Cadillac,XT5,50452.60743,0.262290223,0.60072717,SUV,2.642683328
87,Cadillac,Escalade,80472.31303,0.153915102,0.937963173,SUV,4.503456714
134,Chevrolet,Colorado,31988.78695,0.103694176,0.778598344,Truck,6.684560554
35,Chevrolet,Malibu,21747.83487,0.125301902,0.741651742,Sedan,5.531839424
64,Chevrolet,Silverado 2500,60816.94178,0.105010487,0.673290763,Truck,6.600769322
36,Chevrolet,Camaro,25092.99603,0.050626722,0.313206307,Coupe,13.69138627
131,Chevrolet,Avalanche,44339.17723,0.115138348,0.698913859,Truck,6.020148909
79,Chevrolet,Cruze,18461.0126,0.119403939,0.57613865,Sedan,5.805084876
21,Chevrolet,Tahoe,52510.23082,0.134368768,0.775774188,SUV,5.158564837
165,Chevrolet,TrailBlazer,17240.75716,0.089847249,0.084613266,SUV,7.714760406
25,Chevrolet,Corvette,69457.52093,0.083338782,0.610383842,Coupe,8.317256164
7,Chevrolet,Silverado 1500,39807.78121,0.102176165,0.759342436,Truck,6.783871749
261,Chevrolet,Volt,53004.89054,0.239263727,0.327504033,Hatchback,2.897012464
179,Chevrolet,Express 2500,26139.38973,0.088016464,0.59466995,Van,7.875231164
246,Chevrolet,Blazer,36855.44616,0.112482837,0.748536691,SUV,6.162273436
51,Chevrolet,Equinox,25254.64494,0.127386637,0.695410535,SUV,5.441308562
193,Chevrolet,Trax,21782.6426,0.093678719,0.356069901,SUV,7.399225821
46,Chevrolet,Impala,23096.30809,0.126194694,0.624036336,Sedan,5.492703218
256,Chevrolet,Express 1500,25498.15836,0.086084359,0.238039577,Van,8.051985359
63,Chevrolet,Suburban,59425.57604,0.152329703,0.842681363,SUV,4.550327258
164,Chevrolet,Silverado 3500,57199.09666,0.091066416,0.637380197,Truck,7.611477729
140,Chevrolet,Express 3500,33651.49089,0.090525367,0.547501154,Van,7.65696978
105,Chevrolet,Traverse,41476.16949,0.181776257,0.881584498,SUV,3.813204268
260,Chevrolet,Sonic,14792.79865,0.114204964,0.453281394,Sedan,6.069350899
59,Chrysler,300,28776.59327,0.119726914,0.755127078,Sedan,5.789425093
123,Chrysler,Town & Country,28489.55238,0.137675987,0.760558563,Van,5.034647031
157,Chrysler,200,22002.65126,0.157359021,0.386002275,Sedan,4.404895222
250,Chrysler,Sebring,10430.89645,0.061139653,0.078962012,Convertible,11.33715946
139,Chrysler,Pacifica,43544.02316,0.286532266,0.711175547,Van,2.419099289
114,Dodge,Ram 2500 Truck,51504.22968,0.069559479,0.193128321,Truck,9.964853266
60,Dodge,Ram 1500 Truck,45693.4547,0.117092183,0.477172989,Truck,5.919694923
53,Dodge,Grand Caravan,21205.16451,0.117051015,0.675108949,Van,5.921776939
41,Dodge,Charger,43752.36488,0.183107243,0.569995168,Sedan,3.785486529
49,Dodge,Journey,24332.02849,0.136936505,0.737539932,SUV,5.061835031
192,Dodge,Dakota,37110.06274,0.118888556,0.488248279,Truck,5.830249966
55,Dodge,Durango,43646.04386,0.148838856,0.650578156,SUV,4.657050053
263,Dodge,Dart,18327.06855,0.114248842,0.183533431,Sedan,6.067019901
65,Dodge,Sprinter,53778.70465,0.107927242,0.406300012,Van,6.422382196
