Entry,Make,Model,Body,Fit_age_a,Fit_age_b,Fit_age_R2,Fit_miles_a,Fit_miles_b,Fit_miles_R2,Fit_age_cw_R2
1,Ford,F150,Truck,44246.053175361805,0.11578378182764733,0.7339811960075865,41306.38714101596,9.424547285373597e-06,0.637727892802723,0.35527874284393035
2,Jeep,Wrangler,Sport Utility,44775.419856064684,0.08801345745390847,0.7756580331885939,37740.319828495274,8.207588788492059e-06,0.5411514785549256,0.3635617818047402
3,Toyota,Camry,Sedan,25050.29406354265,0.11125193998327867,0.8382833198117322,26599.469846986765,1.1863642944600173e-05,0.7303362133945508,0.7583443751108654
4,Honda,Civic,Sedan,23425.106385099723,0.11050949051677675,0.8512868849596092,21864.8217505155,1.072151641449464e-05,0.7314390812068585,0.42368340117167236
5,Honda,Accord,Sedan,28256.320641147362,0.12135991656433694,0.868996907835757,23612.493591851806,9.992515788318669e-06,0.664326686063311,0.5022764006046934
6,Jeep,Grand Cherokee,Sport Utility,46008.27556406919,0.14598817730230262,0.6916009015135387,41140.837741274794,1.358643269821309e-05,0.5755712621154091,0.6263073536942324
7,Honda,CR-V,Sport Utility,31114.47428563457,0.11618397181486582,0.924485007195147,29275.916167335447,0.00249967668982268,-0.5900831146676775,0.5693265585460074
8,Chevrolet,Silverado 1500,Truck,39807.78120978069,0.10217616512364129,0.759342436194705,36646.55902767859,8.40196582228158e-06,0.6267406195887191,0.09377244988153022
9,Toyota,Corolla,Sedan,19780.084602562718,0.10221600332437626,0.8814456404306512,21357.308784602817,1.1374504137331658e-05,0.8183252595302998,0.7687947179056711
10,Ford,Mustang,Coupe,33836.474566724944,0.0885089701847139,0.2743099449789893,39111.40177711036,1.652993353033475e-05,0.5526588843873135,-0.057760564048011664
11,Toyota,Highlander,,45145.76905737561,0.13628990014827805,0.9132610271652553,40057.59764674546,1.1054194148677759e-05,0.8698567484826447,0.7653133109134285
12,Toyota,RAV4,Sport Utility,29735.490627950036,0.10768220639900988,0.8572186810670196,31206.39367814954,1.1558247186107847e-05,0.836749313426367,0.6518201075571428
13,Porsche,911,Coupe,150933.727899501,0.08178707062083182,0.3048744614527966,153806.81170750989,2.421658901186084e-05,0.4962503683094005,-0.4866344818213182
14,Ford,Explorer,Sport Utility,39612.332611686645,0.1451551741827666,0.8466657817801072,35000.895711606834,1.1545342351353288e-05,0.5978816606600243,0.8153728353273806
15,Nissan,Altima,Sedan,22275.677860808973,0.1307628603124107,0.770952379711858,19451.445914557644,9.647341717056325e-06,0.5166006598690354,0.6277585122334964
16,Toyota,Tacoma,Truck,35795.743847725316,0.07583636536672886,0.8278196793321323,34766.37907842206,7.385814427137263e-06,0.7916709716438955,0.14975797771609245
17,RAM,1500,Truck,46096.580223928315,0.14670254221970436,0.48543484208537524,37621.53911213913,8.597057220716371e-06,0.51288511122877,0.3947880476087522
18,Ford,F250,,53819.192822884586,0.09251748427104811,0.7550252973074102,46735.598119237766,7.120166172327718e-06,0.5155275250299121,0.2964028020822471
19,BMW,X5,Sport Utility,68956.39106867633,0.18546682149949334,0.9553676753640953,65844.50235391593,1.784587701943594e-05,0.8815406209402854,0.9362548441338523
20,Ford,Escape,,25382.583445241027,0.12506471722557147,0.628886935721472,23221.266181026058,1.1114231077533595e-05,0.5022932704762475,0.31144165616444486
21,Volkswagen,Jetta,Sedan,22883.802116376566,0.13144934941804032,0.8068482215718499,20193.328491781685,1.2188916467073904e-05,0.6994597578996498,0.607488473772609
22,Chevrolet,Tahoe,Sport Utility,52510.23081509651,0.13436876766149122,0.7757741879136214,41729.22765087551,8.606378431420856e-06,0.4743863825350839,
23,Mercedes-Benz,C 300,Sedan,47726.37929079189,0.18167079036271983,0.9021504618916028,47082.81398925075,2.1361567547814986e-05,0.8601041969965292,0.8932095158386498
24,Honda,Odyssey,Van,40210.89934859241,0.14576335034427473,0.9138716218022629,30105.917279308163,9.653323204624738e-06,0.5743552074168503,0.7752029207428429
25,Nissan,Sentra,Sedan,19516.77813741859,0.13293670506829725,0.7938503690502791,18427.5720400098,1.2070926248413043e-05,0.8176873576754227,
26,Chevrolet,Corvette,Coupe,69457.52092952897,0.08333878220865792,0.6103838421509711,46560.25828510808,1.4388690820467632e-05,0.48820796890646667,
27,Toyota,Tundra,Truck,47338.86299116166,0.10338053956584266,0.8709505882793972,44390.79108978551,8.979060282338056e-06,0.8485525202079971,0.34425699388931597
