Entry,Make,Model,Body,Fit_age_a,Fit_age_b,Fit_age_R2,Fit_miles_a,Fit_miles_b,Fit_miles_R2,Fit_age_cw_R2
1,Ford,F150,Truck,44246.053175361805,0.11578378182764733,0.7339811960075866,41306.38714093824,9.424547285350795e-06,0.6377278928027229,0.35527874284393046
2,Jeep,Wrangler,Sport Utility,44775.419856064684,0.08801345745390847,0.775658033188594,37740.31982876896,8.207588788588275e-06,0.5411514785549254,0.3635617818047402
3,Toyota,Camry,Sedan,25050.29406354265,0.11125193998327867,0.8382833198117323,26599.469847082506,1.1863642944616065e-05,0.7303362133945508,0.7583443751108655
4,Honda,Civic,Coupe,23425.106385099723,0.11050949051677675,0.8512868849596092,21864.821751368276,1.0721516415026904e-05,0.7314390812068577,0.42368340117167236
5,Honda,Accord,Hatchback,28256.320641147362,0.12135991656433694,0.868996907835757,23612.493593496343,9.992515789207486e-06,0.6643266860633095,0.5022764006046935
6,Jeep,Grand Cherokee,Sport Utility,46008.27556406919,0.14598817730230262,0.6916009015135387,41140.83774073131,1.3586432698005669e-05,0.5755712621154092,0.6263073536942323
7,Honda,CR-V,Sport Utility,31114.47428563457,0.11618397181486582,0.924485007195147,29275.916166660536,0.002499676689704593,-0.5900831146676775,0.5693265585460074
8,Chevrolet,Silverado 1500,Truck,39807.78120978069,0.10217616512364129,0.759342436194705,36646.55902742528,8.401965822204605e-06,0.6267406195887191,0.09377244988153055
9,Toyota,Corolla,Sedan,19780.084602562718,0.10221600332437626,0.8814456404306512,21357.308784053566,1.137450413696664e-05,0.8183252595303012,0.7687947179056711
10,Ford,Mustang,Hatchback,33836.474566724944,0.0885089701847139,0.2743099449789893,39111.40177555014,1.6529933529424116e-05,0.5526588843873155,-0.057760564048011664
11,Toyota,Highlander,Sport Utility,45145.76905737561,0.13628990014827805,0.9132610271652553,40057.59764659896,1.1054194148633056e-05,0.8698567484826447,0.7653133109134285
12,Toyota,RAV4,Sport Utility,29735.490627950036,0.10768220639900988,0.8572186810670196,31206.393677321736,1.1558247185715962e-05,0.8367493134263689,0.6518201075571428
13,Ford,Explorer,Sport Utility,39612.332611686645,0.1451551741827666,0.8466657817801073,35000.89571010418,1.154534235071299e-05,0.5978816606600251,0.8153728353273807
14,Porsche,911,Coupe,150933.727899501,0.08178707062083182,0.3048744614527966,153806.8117846666,2.4216589025499467e-05,0.4962503683093752,-0.4866344818213182
15,Nissan,Altima,Sedan,22275.677860808973,0.1307628603124107,0.770952379711858,19451.445919449965,9.647341720451775e-06,0.5166006598690394,0.6277585122334965
16,Toyota,Tacoma,Truck,35795.743847725316,0.07583636536672886,0.8278196793321322,34766.37907969764,7.3858144275005715e-06,0.7916709716438929,0.14975797771609223
17,RAM,1500,Truck,46096.580223928315,0.14670254221970436,0.48543484208537524,37621.539110482474,8.59705721999729e-06,0.5128851112287736,0.3947880476087522
18,Ford,F250,Truck,53819.192822884586,0.09251748427104811,0.7550252973074103,46735.59812204267,7.1201661729006575e-06,0.5155275250299092,0.2964028020822471
19,BMW,X5,Sport Utility,68956.39106867633,0.18546682149949334,0.9553676753640953,65844.50235439104,1.7845877019570776e-05,0.8815406209402853,0.9362548441338523
20,Ford,Escape,Sport Utility,25382.583445241027,0.12506471722557147,0.628886935721472,23221.26618164442,1.1114231077903403e-05,0.5022932704762464,0.31144165616444486
