Make,Model,New Price,Decay Coeff,Fit R2,Half-life,Listings
Acura,ILX,30777,0.128,0.763,5.41,97
Acura,MDX,55726,0.168,0.938,4.12,462
Acura,RDX,42559,0.156,0.953,4.44,265
Acura,TL,28820,0.109,0.702,6.38,260
Acura,TLX,35871,0.153,0.778,4.53,115
Acura,TSX,32150,0.123,0.675,5.65,147
Audi,A3,36273,0.15,0.876,4.61,264
Audi,A4,42268,0.168,0.893,4.12,477
Audi,A5,54769,0.187,0.924,3.71,169
Audi,A6,67021,0.228,0.923,3.03,241
Audi,A7,86183,0.197,0.919,3.53,82
Audi,A8,104135,0.24,0.943,2.89,117
Audi,Q3,40387,0.161,0.848,4.32,100
Audi,Q5,48994,0.166,0.923,4.16,406
Audi,Q7,68250,0.181,0.899,3.83,250
Audi,S4,59090,0.142,0.898,4.88,70
Audi,S5,67012,0.155,0.93,4.48,103
Audi,TT,51937,0.134,0.915,5.17,65
BMW,325i,23332,0.104,0.1,6.67,71
BMW,328i xDrive,41129,0.163,0.798,4.26,152
BMW,330i,43176,0.152,0.899,4.55,214
BMW,330i xDrive,52610,0.196,0.872,3.53,65
BMW,335i,44427,0.132,0.656,5.23,148
BMW,528i,35578,0.13,0.875,5.31,121
BMW,530i,59064,0.176,0.969,3.95,79
BMW,535i,51484,0.165,0.847,4.2,122
BMW,535i xDrive,52123,0.177,0.66,3.92,86
BMW,650i,150783,0.272,0.619,2.55,79
BMW,750Li,86679,0.194,0.807,3.57,64
BMW,M3,60206,0.069,0.602,10.0,187
BMW,M5,99306,0.125,0.689,5.53,89
BMW,X1,42270,0.188,0.93,3.69,219
BMW,X2,43398,0.13,0.452,5.33,61
BMW,X3,47727,0.172,0.902,4.03,546
BMW,X5,68956,0.185,0.955,3.74,689
BMW,X6,80540,0.177,0.91,3.91,72
BMW,Z4,61581,0.139,0.937,4.98,110
BMW,i3,68136,0.316,0.537,2.19,100
Bentley,Continental,93877,0.055,0.196,12.53,194
Buick,Enclave,40576,0.138,0.736,5.04,162
Buick,Encore,21986,0.083,0.298,8.3,121
Buick,LaCrosse,39580,0.172,0.719,4.04,132
Buick,Regal,31308,0.139,0.679,4.97,93
Cadillac,ATS,29412,0.108,0.312,6.43,76
Cadillac,CTS,55831,0.169,0.508,4.11,328
Cadillac,DTS,55192,0.172,0.093,4.04,65
Cadillac,Escalade,80472,0.154,0.938,4.5,264
Cadillac,Escalade ESV,88257,0.17,0.849,4.08,118
Cadillac,SRX,38302,0.141,0.799,4.91,157
Cadillac,XT5,50452,0.262,0.601,2.64,122
Cadillac,XTS,28258,0.065,0.33,10.66,82
Chevrolet,Avalanche,44339,0.115,0.699,6.02,177
Chevrolet,Blazer,36855,0.112,0.749,6.16,75
Chevrolet,Camaro,25092,0.051,0.313,13.69,492
Chevrolet,Colorado,31988,0.104,0.779,6.68,168
Chevrolet,Corvette,69457,0.083,0.61,8.32,609
Chevrolet,Cruze,18461,0.119,0.576,5.81,282
