Make,Model,Body,Count
Ford,F150,Truck,1926
Toyota,Camry,Sedan,1493
Jeep,Grand Cherokee,SUV,1285
Jeep,Wrangler,Convertible,1244
Honda,Accord,Sedan,1199
Honda,CR-V,SUV,1142
Chevrolet,Silverado 1500,Truck,1107
Honda,Civic,Sedan,1055
Toyota,Corolla,Sedan,1004
Toyota,Highlander,SUV,821
Toyota,RAV4,SUV,806
Ford,Explorer,SUV,793
Toyota,Tacoma,Truck,771
RAM,1500,Truck,756
Nissan,Altima,Sedan,742
Ford,F250,Truck,729
BMW,X5,SUV,688
Ford,Escape,SUV,686
Chevrolet,Tahoe,SUV,664
Nissan,Sentra,Sedan,639
Honda,Odyssey,Van,638
Mercedes-Benz,C 300,Sedan,596
Ford,Mustang,Coupe,589
Ford,Fusion,Sedan,583
Volkswagen,Jetta,Sedan,582
Toyota,Sienna,Van,575
Toyota,Tundra,Truck,570
Honda,Pilot,SUV,547
BMW,X3,SUV,546
Nissan,Rogue,SUV,536
Toyota,Prius,Hatchback,515
Volkswagen,Tiguan,SUV,509
Toyota,4Runner,SUV,504
Dodge,Challenger,Coupe,484
Chevrolet,Malibu,Sedan,479
Porsche,911,Coupe,477
Lexus,RX 350,SUV,477
Dodge,Charger,Sedan,475
Acura,MDX,SUV,462
Volkswagen,Passat,Sedan,460
Chevrolet,Impala,Sedan,444
Ford,F350,Truck,439
Chevrolet,Corvette,Coupe,430
GMC,Sierra 1500,Truck,408
Dodge,Journey,SUV,407
Audi,Q5,SUV,405
Hyundai,Sonata,Sedan,401
Dodge,Durango,SUV,396
Audi,A4,Sedan,395
Chevrolet,Camaro,Coupe,394
Chevrolet,Equinox,SUV,392
Dodge,Grand Caravan,Van,391
Chrysler,300,Sedan,384
Dodge,Ram 1500 Truck,Truck,376
Nissan,Murano,SUV,375
Mercedes-Benz,E 350,Sedan,372
Ford,Ranger,Truck,365
Chevrolet,Suburban,SUV,361
Honda,Fit,Hatchback,354
Hyundai,Elantra,Sedan,353
Chevrolet,Silverado 2500,Truck,352
Ford,Edge,SUV,341
Jeep,Wrangler,SUV,338
MINI,Cooper,Hatchback,331
Hyundai,Santa Fe,SUV,330
Ford,Expedition,SUV,325
GMC,Acadia,SUV,325
Jeep,Cherokee,SUV,316
Porsche,911,Convertible,310
BMW,328i,Sedan,306
Mercedes-Benz,Sprinter,Van,296
Lexus,ES 350,Sedan,293
Nissan,Frontier,Truck,291
Kia,Optima,Sedan,290
Jeep,Compass,SUV,290
Jeep,Liberty,SUV,288
Mercedes-Benz,GLC 300,SUV,287
GMC,Yukon,SUV,284
Ford,Mustang,Convertible,279
Mercedes-Benz,S 550,Sedan,277
Land Rover,Range Rover Sport,SUV,275
Cadillac,CTS,Sedan,270
Honda,HR-V,SUV,268
Acura,RDX,SUV,265
Cadillac,Escalade,SUV,263
Nissan,Maxima,Sedan,262
Nissan,Pathfinder,SUV,261
Honda,Civic,Coupe,261
Acura,TL,Sedan,260
Subaru,Forester,SUV,259
Chevrolet,Cruze,Sedan,258
Land Rover,Range Rover,SUV,253
Audi,Q7,SUV,250
Mercedes-Benz,ML 350,SUV,248
Ford,Focus,Sedan,242
Porsche,Cayenne,SUV,239
Audi,A6,Sedan,234
Mercedes-Benz,GLA 250,SUV,232
Kia,Sorento,SUV,231
Mercedes-Benz,GLE 350,SUV,228
Mercedes-Benz,CLA 250,Sedan,224
Volkswagen,Atlas,SUV,221
Volkswagen,GTI,Hatchback,220
Chevrolet,Traverse,SUV,220
Ford,Taurus,Sedan,220
RAM,2500,Truck,218
BMW,X1,SUV,218
Tesla,Model S,Hatchback,213
BMW,330i,Sedan,213
INFINITI,Q50,Sedan,211
Dodge,Ram 2500 Truck,Truck,203
GMC,Yukon XL,SUV,201
MAZDA,MAZDA3,Sedan,197
Lexus,IS 250,Sedan,194
Toyota,Sequoia,SUV,192
Subaru,Outback,Wagon,189
Toyota,Avalon,Sedan,189
Mercedes-Benz,GLS 450,SUV,186
Mercedes-Benz,GL 450,SUV,186
Kia,Niro,SUV,184
Chrysler,Town & Country,Van,184
Nissan,Titan,Truck,184
Kia,Soul,Hatchback,180
Chevrolet,Corvette,Convertible,178
Nissan,Versa,Sedan,178
Porsche,Panamera,Hatchback,178
Hyundai,Tucson,SUV,178
RAM,3500,Truck,174
GMC,Terrain,SUV,173
Jeep,Renegade,SUV,172
MAZDA,CX-5,SUV,171
Porsche,Boxster,Convertible,171
Chevrolet,Colorado,Truck,168
Ford,E-350 and Econoline 350,Van,166
Chevrolet,Express 3500,Van,164
Honda,Accord,Coupe,163
Buick,Enclave,SUV,162
Ford,Crown Victoria,Sedan,160
Cadillac,SRX,SUV,156
Mercedes-Benz,E 300,Sedan,151
Volvo,XC90,SUV,150
INFINITI,QX60,SUV,150
HUMMER,H2,SUV,148
Ford,EcoSport,SUV,147
Lexus,GS 350,Sedan,147
